participant.label,round 1_contribute,round 2_contribute,round 3_contribute,round 4_contribute,round 5_contribute,round 6_contribute,round 7_contribute,round 8_contribute,round 9_contribute,round 10_contribute,round 1_mpcr,round 2_mpcr,round 3_mpcr,round 4_mpcr,round 5_mpcr,round 6_mpcr,round 7_mpcr,round 8_mpcr,round 9_mpcr,round 10_mpcr,round 1_payoff,round 2_payoff,round 3_payoff,round 4_payoff,round 5_payoff,round 6_payoff,round 7_payoff,round 8_payoff,round 9_payoff,round 10_payoff,round 1_total_contribution,round 2_total_contribution,round 3_total_contribution,round 4_total_contribution,round 5_total_contribution,round 6_total_contribution,round 7_total_contribution,round 8_total_contribution,round 9_total_contribution,round 10_total_contribution,round 1_id_subsession,round 2_id_subsession,round 3_id_subsession,round 4_id_subsession,round 5_id_subsession,round 6_id_subsession,round 7_id_subsession,round 8_id_subsession,round 9_id_subsession,round 10_id_subsession,alpha_med,beta_med,player.gender,player.age,player.affiliation
03SUB01,10,10,10,10,10,10,10,10,10,10,0.75,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18.75,18,18,18,18,18,18,18,18,18,25,30,30,30,30,30,30,30,30,30,8,8,4,5,5,6,5,5,1,4,-0.0215,0.0555,男性,28,21
03SUB02,5,10,10,10,10,10,10,10,10,10,0.3,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,12.5,18,18,18,18,18,18,18,18,18,25,30,30,30,30,30,30,30,30,30,8,3,2,2,7,8,1,5,1,7,0.024,0.0555,女性,23,25
03SUB03,9,10,10,10,10,10,10,10,10,10,0.9,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,22.6,18,18,18,18,18,18,18,18,18,24,30,30,30,30,30,30,30,30,30,1,4,2,4,6,2,2,6,5,7,0.3345,0.5145,女性,22,10
03SUB04,10,10,10,10,10,10,10,10,10,10,0.75,0.75,0.6,0.75,0.6,0.6,0.6,0.6,0.6,0.6,21.75,15,18,15,18,18,18,18,18,18,29,20,30,20,30,30,30,30,30,30,5,7,7,3,8,1,5,8,3,1,-0.1015,0.0555,男性,26,14
03SUB05,9,10,10,10,10,10,10,10,10,10,0.3,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,9.7,18,18,18,18,18,18,18,18,18,29,30,30,30,30,30,30,30,30,30,5,8,4,1,5,7,6,1,2,2,0.074,-0.0715,男性,25,16
03SUB06,10,10,10,5,10,10,10,10,10,10,0.75,0.6,0.6,0.3,0.6,0.6,0.6,0.6,0.6,0.6,18.75,18,18,12.5,18,18,18,18,18,18,25,30,30,25,30,30,30,30,30,30,8,1,7,8,8,1,3,8,2,6,0.129,-0.0715,男性,28,7
03SUB07,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.75,0.75,0.6,18,18,18,18,18,18,18,15,15,18,30,30,30,30,30,30,30,20,20,30,6,3,7,6,2,6,1,7,8,3,0.024,0.0555,男性,22,10
03SUB08,8,8,0,10,0,10,10,10,10,10,0.6,0.3,0.3,0.6,0.3,0.6,0.6,0.6,0.6,0.6,16.4,10.4,16,18,16,18,18,18,18,18,24,28,20,30,20,30,30,30,30,30,1,2,5,7,4,2,6,1,7,8,0.024,0.303,男性,25,22
03SUB09,10,10,10,10,10,10,10,10,10,10,0.75,0.75,0.75,0.6,0.6,0.6,0.6,0.6,0.6,0.6,15,21,15,18,18,18,18,18,18,18,20,28,20,30,30,30,30,30,30,30,7,2,8,6,3,2,2,4,6,7,-0.0215,0.0555,男性,20,10
03SUB10,0,0,0,0,0,0,0,0,0,10,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,16,16,16,16,16,16,16,16,16,18,20,20,20,20,20,20,20,20,20,30,7,7,8,3,1,3,8,7,8,6,0.024,0.0555,男性,22,9
03SUB11,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.75,0.75,0.6,0.6,0.6,18,18,18,18,18,15,15,18,18,18,30,30,30,30,30,20,20,30,30,30,6,4,3,1,6,3,8,6,5,4,-0.0215,0.0555,女性,22,28
03SUB12,10,10,9,10,10,10,10,10,10,10,0.75,0.6,0.3,0.75,0.6,0.75,0.6,0.6,0.6,0.6,15,18,9.7,18.75,18,21.75,18,18,18,18,20,30,29,25,30,29,30,30,30,30,7,3,1,8,6,4,1,2,1,1,0.024,0.0555,女性,25,22
03SUB13,7,8,10,10,10,9,10,10,10,10,0.3,0.3,0.6,0.6,0.75,0.3,0.6,0.6,0.75,0.6,10.2,10.4,18,18,15,9.7,18,18,15,18,24,28,30,30,20,29,30,30,20,30,1,6,6,1,4,4,4,3,8,5,0.024,-0.0715,女性,23,22
03SUB14,10,10,10,10,10,10,10,10,10,10,0.6,0.75,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,21,18,18,18,18,18,18,18,18,30,28,30,30,30,30,30,30,30,30,4,6,3,4,8,5,5,3,4,6,0.024,-0.0715,男性,23,7
03SUB15,9,10,10,10,10,10,10,10,10,10,0.3,0.75,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,9.7,15,18,18,18,18,18,18,18,18,29,20,30,30,30,30,30,30,30,30,2,7,6,7,3,7,6,4,3,2,0.024,-0.0715,女性,19,7
03SUB16,10,10,10,10,10,10,10,10,10,10,0.75,0.75,0.75,0.6,0.6,0.6,0.6,0.6,0.6,0.6,21.75,21.75,21.75,18,18,18,18,18,18,18,29,29,29,30,30,30,30,30,30,30,2,5,1,2,2,5,3,5,6,5,0.024,0.0555,男性,22,10
03SUB17,10,10,10,10,10,10,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,18,18,18,18,18,18,18,18,18,18,30,30,30,30,30,30,30,30,30,30,3,8,6,6,5,5,3,1,4,2,-0.0215,0.0555,女性,23,12
03SUB18,10,10,10,10,10,10,10,10,10,10,0.75,0.75,0.6,0.75,0.6,0.6,0.6,0.75,0.6,0.6,21.75,21,18,18.75,18,18,18,15,18,18,29,28,30,25,30,30,30,20,30,30,2,6,4,8,7,6,4,7,4,3,-0.0215,0.0555,女性,22,12
